no,genome,hpv_genome,group,group_number,hpv_name,group_genome,Met0913,Met0920,Met0921,Met0936,Met0946,Met0947,Met0992,Met1003,Met1004,Met1020,Met1030,Met1031,Met2822,Met2823,Met2824,Met2825,Met2834,Met2835,Met2836,Met2837,Met2846,Met2847,Met2849,Met2858,Met2859,Met2860,Met2861,Met2870,Met2871,Met2872,Met2873,Met2882,Met2883,Met2885,Met2894,Met2895,Met2897,Met2906,Met2909,Met3132,Met3138,Met3139,Met3142,Met3144,Met3506,Met3507,Met3508,Met3509,Met3510,Met3511,Met3512,Met3513,Met3514,Met3515,Met3516,Met3517,Met3518,Met3519,Met3520,Met4126,Met4127,Met4128,Met4129,Met4130,Met4131,Met4132,Met4133,Met4134,Met4135,Met4136,Met4137,Met4138,Met4139,Met4140,Met4141,Met4142,Met4143,Met4144,Met4145,Met4146,Met4147,Met4148,Met4149,Met4150,Met4151,Met4152,Met4153,Met4154,Met4155,Met4156,Met4157,Met4158,Met4348,Met4349,Met4350,Met4351,Met4352,Met4353,Met4357,Met4358,Met4359,Met4360,Met4361,Met4362,Met4363,Met4364,Met4365,Met4366,Met4367,Met4368,Met4369,Met4370,Met4371,Met4372,Met4373,Met4374,Met4375,Met4376,Met4520,Met4521,Met4522,Met4523,Met4524,Met4525,Met4526,Met4527
11,HPV15,15,beta,2,betapapillomavirus_2,beta_HPV15,0.5423,0,0,0,0,0,0,0,0,0,0,0,0.5423,0,0,15.4555,0,0,0,14.3709,0.2711,0,211.3612,4.7451,0.8134,0,703.0911,55.3145,0.4067,0,2.9826,0,0,28.7419,0.1356,0,41.6215,0.2711,23.0477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.898,1.0846,42.5705,0,1.2202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4187,0,0,8.1345,4.0672,0,25.4881,25.3525,9.2191,0,15.0488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,HPV17,17,beta,2,betapapillomavirus_2,beta_HPV17,6.5138,3.2569,11.3991,0,0,0,0,0,0,2.1713,0,0,0,0,0,0,0,0,0,0,0,0,16.1487,0,0,0,2.0356,0,0,0,0,0,0,4.6139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0856,0,0,1.8999,0,4.8853,65.8163,106.9345,19.2699,335.1879,27.5478,11.3991,15.8773,160.6731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1357,2.9855,0,0,1.6284,0.6785,0,0,0,651.5131,797.5302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8142,0,0,0,0.2714,0
13,HPV19,19,beta,1,betapapillomavirus_1,beta_HPV19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5292,0,0,1.0583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7897,0,0,1.1906,50.8004,71.5703,40.0847,30.8242,202.54,146.5802,154.9147,169.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,HPV20,20,beta,1,betapapillomavirus_1,beta_HPV20,0,0,0,0,0,0,0,0,0,0,0,0,15.0953,0.3972,0,0,1.0593,0,0,0,1.3242,0,86.5996,15.2278,0,0,0,294.3591,1.589,0,0,1.0593,0,0,0.3972,0,0,46.4778,0,0,0,0,0,0,0,0,0,2.3835,0,2.3835,0,0,0,0.2648,0,0,0,0,0,0,0,0,0,0,3.4428,0,0,9.2691,36.8114,1.4566,0.5297,1.8538,3.178,0.1324,12.7119,0,0,0,0,0,14.3008,101.4301,0.1324,4.2373,163022.3782,450088.321,97283.8983,136330.5085,201746.2924,632139.6981,1386593.22,119272.5106,0,0,0,0,0,13929.4227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,HPV21,21,beta,1,betapapillomavirus_1,beta_HPV21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7122,0,0,0,25.8999,0,0,1165.7591,0,0,0,13.5476,0,0,0,3.4533,0,0,40.2444,0,0,24.306,0,63.7535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.7985,18.0635,55.6515,0,0,0,0,0,0,0,0,2.2579,2.6564,6.3753,0,0,0,0,0.7969,0,0,0,0,0,0,2.3908,0,0,548.8113,1266.9677,274.8041,473.9009,1241.2007,2439.1021,2881.2591,498.871,0,0,0,0,0,35.3301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,HPV22,22,beta,2,betapapillomavirus_2,beta_HPV22,0,0,0.5429,0,0,0,0,0,0,0,0,0,0,156.0803,864.5494,80.4832,0.2714,198.5613,0,44.2454,0,7.1933,14205.8903,0,16.4224,0,78.7188,0,5.836,0,15.4723,0.2714,1.3572,112.6493,0,0.2714,181.4604,0,117.3996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2714,0,3.1216,21.4441,4.886,130.2932,19.0011,5.1574,176976.7915,26.873,18.4582,3.9359,11.6721,2.3073,2.443,21.0369,2.443,29.4517,0,0,0,0,0,0,2.7144,0,0,0,2.7144,0,0,6.2432,0,0,0,2.9859,0,0.5429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,HPV23,23,beta,2,betapapillomavirus_2,beta_HPV23,0,0,0,0,0,0,0.5461,0,0,0,0,0,0,0,11.1961,142.9547,0.5461,6.8269,0,52.0208,0,0,82.1955,0.8192,0,0,3.55,3.823,0,0,15.7018,0,0,78.3725,0,0,11.4691,0.5461,55.2977,0,0,0,0,0,0,0,0,30.1748,0,0,0,0,0,0.5461,0,0.2731,27.7171,3.0038,26.7613,0,0,0,0,0,89.5685,39.1862,0,0,2.4577,0,2.1846,0,0,0,0.2731,0,0,0,0.5461,0,1.6384,18.5691,0,6.6903,0.2731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,HPV24,24,beta,1,betapapillomavirus_1,beta_HPV24,0,0,0,0,0,0,0,0,0,0.404,0,0,165.6566,0,0.8081,362.1549,595.0168,0.8081,0,180.3367,73.4007,0,4872.1886,289.9663,0,0,40.2694,3607.4074,0,0,75.8249,4.5791,0.9428,502.8956,265.4545,0,31731.8519,250.101,389.899,0,0,0,0,0,0.2694,0,3.5017,0.8081,0,0.5387,0,0.2694,0,0,0.2694,0.2694,0,0,1.8855,0,1.7508,0,0.1347,2.5589,0.8081,1.4815,1.4815,0,1.6162,0,0,0,0,0,0.1347,0,0,0,0,0,0,0,0,0,15.3535,3.6364,0,71.5152,14.5455,4.7138,3.2323,11.3131,0,0,0,0,0,1.4815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0774,0,0,0,0,0
19,HPV25,25,beta,1,betapapillomavirus_1,beta_HPV25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7326,0,0,0,0,0,0,0,0,0,0,0,77.0139,67.83,91.3146,299.3965,139.5959,49.5933,44.2141,59.302,0,0,0,0,0,5.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,HPV27,27,alpha,4,alphapapillomavirus_4,alpha_HPV27,2.2049,0,0,0,0,0,0.5188,0.7782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5188,0,3.6316,0,0,0,1.4267,0,2.0752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7691,0,0,0,2.0752,0,0,0,0,0,0,0,0,1.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7782,0,0,0.2594,64.8508,0,0
